序號,統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期
78,53671457,愛爾蘭商道達測重控制股份有限公司,臺中市西區向上一街13號(1樓),理查‧歐卡拉漢,0,1020523
79,53671463,薩摩亞商風土茶葉有限公司,臺北市大安區忠孝東路4段341號9樓,堯德偉,150000,1020523
80,53671479,大陸商西得樂機械(北京)有限公司,桃園縣龜山鄉林口工三工業區文明三街4號,Sebastien Alain Jerome Legarand,0,1020523
81,53671484,日商東京水道服務股份有限公司,新北市永和區仁愛路279號5樓,岸野俊介,0,1020524
82,53671490,有景建設有限公司,金門縣金寧鄉盤山村仁愛新101號,章平安,500000,1020524
83,53671506,香港商里程亞洲有限公司,臺北市松山區南京東路5段225號13樓之3,盧佩君,200000,1020524
84,53671512,英屬維京群島商興容成股份有限公司,新北市新莊區中原東路6號2樓,陳得清,1000000,1020524
85,53671528,貝里斯商金越投資有限公司,臺北市大安區仁愛路4段29號4樓,楊思漢,25000000,1020524
86,53671533,日商卡司登股份有限公司,新北市中和區安樂路217巷20弄16號4樓,木村仁,0,1020524
87,53671554,英屬維京群島商昶福鑫股份有限公司,高雄市苓雅區凱旋里江都街62號1樓,沈金對,113000000,1020524
88,53671581,香港商亞銳司亞太有限公司,臺北市信義區松智路1號11樓,Carlos  Bores  Sainz  De  Vicuna,5000000,1020524
89,53671597,德商柯魯迪有限公司,臺北市中正區仁愛路2段71號2樓之6,康默,0,1020527
90,53671604,韓商射頻之窗股份有限公司,桃園縣桃園市廈門街67之1號,林健文,2600000,1020527
91,53671626,美商殷孚股份有限公司,臺北市信義區松智路1號11樓,董成方,500000,1020527
92,53671631,美商夏威夷航空股份有限公司,臺北市松山區敦化北路214號7樓,林正義,20336043,1020527
93,53671652,新加坡商高新國際有限公司,臺北市中正區館前路65號11樓,劉乃瑋,1000000,1020527
94,53671668,立臣生技有限公司,金門縣金湖鎮山外里建華14號,周立勤,500000,1020529
95,53671718,英屬維京群島商智昇全球有限公司,臺北市中山區遼寧街128巷17號,江玉葉,10000000,1020528
96,53671724,宜欣營造有限公司,金門縣金城鎮珠沙里和平新村36號,溫千慧,3000000,1020528
97,53671745,英屬安吉拉商波森科技有限公司,臺北市內湖區洲子街112號7樓,湯文雄,500000,1020528
98,53671750,香港商富士八達有限公司,臺北市松山區南京東路4段171號8樓,文,250000,1020528
99,53671822,香港商克勞德艾比有限公司,新北市新店區華中街53號2樓,陳有科,3000000,1020529
100,53671837,英屬維京群島商猛科技股份有限公司,臺北市信義區基隆路1段420號2樓之1,陳思平,5000000,1020529
101,53671858,瑞士商托納斯股份有限公司,臺中市大甲區日南里5鄰工二路4-42號,周德明,8000000,1020529
102,53671914,新加坡商華科全球股份有限公司,新北市淡水區中正東路2段27號2樓,何慧玉,10000000,1020529
103,53671920,新加坡商葆光資訊有限公司,臺北市信義區基隆路1段163號18樓之2、之3,陳忠偉,30000000,1020531
104,53671941,汶萊商湧源技術國際有限公司,雲林縣斗六市民權街32號,劉忠男,1500000,1020531
105,54056212,嘉鑫國際企業有限公司,新北市新店區復興里民權路88號5樓,林昊雷,5000000,1020430
106,54056254,兆偉企業有限公司,新北市三峽區安溪里中華路87號,蘇麗紅,13500000,1020430
107,54056304,迦美國際有限公司,新北市三峽區龍學里31鄰學府路16號6樓,張雅雯,65000,1020430
108,54056331,超世代數位股份有限公司,新北市新店區寶橋路235巷127號8樓之1,陳佳忠,1000000,1020430
109,54056347,雯正科技有限公司,新北市泰山區貴和里貴鳳街20號(2樓),余佳旻,100000,1020430
110,54056352,美光商務租車有限公司,新北市三重區自強路5段126號,趙光夫,5000000,1020430
111,54056368,鉅鑫國際有限公司,新北市樹林區樹新路140號,梁金細,500000,1020430
112,54056374,馬克創意行銷有限公司,新北市三重區忠孝路1段21巷21號4樓,林麗卿,300000,1020430
113,54056389,威威情趣精品國際有限公司,新北市板橋區東安里長安街331巷79之2號4樓,宋挺惶,1000000,1020430
114,54056395,紅線設計有限公司,新北市八里區龍米路1段210號8樓,簡宏任,1000000,1020430
115,54056402,集美家具有限公司,新北市新店區寶興路45巷2弄38號2樓,洪麗鈴,500000,1020430
116,54056418,約書亞文化事業有限公司,新北市新店區寶安里12鄰中興路3段198號4樓,劉易蓁,300000,1020430
117,54056424,台灣牛樟芝生態農場股份有限公司,新北市板橋區縣民大道2段200巷7號,林宜靜,2000000,1020430
118,54056439,樟盛堂生物科技有限公司,新北市中和區連城路347巷16弄35號,張盛堂,200000,1020430
119,54056450,友源食品有限公司,新北市淡水區英專路112號（1樓）,李宗良,1000000,1020430
120,54056466,泳將有限公司,新北市八里區中華路2段536之8號10樓,謝宗澤,1000000,1020430
121,54056472,鑽鈊科技有限公司,新北市新店區寶橋路235巷123號7樓之3,程允中,5000000,1020430
122,54056487,達芙室內裝修有限公司,新北市淡水區新巿一路3段101巷112號(1樓),廖敏伶,2000000,1020430
123,54056493,九大國際有限公司,新北市中和區碧河里連城路249巷3號,曾冠智,100000,1020430
124,54056509,捷恩國際有限公司,新北市林口區仁愛路1段386巷8號5樓之3,洪梅英,516888,1020501
125,54056515,昱馨貿易有限公司,新北市蘆洲區仁愛街62巷16號,葉國送,1000000,1020430
126,54056536,信安生命禮儀有限公司,新北市中和區信安里新生街186巷1弄9號,林其均,500000,1020430
127,54056542,本田晴美有限公司,新北市新店區寶興路64巷27號4樓,本田晴美,99000,1020430
128,54056557,婕美國際有限公司,新北市三重區重新路4段65號6樓之7,林維娟,800000,1020430
129,54056563,泰雅爾能源科技股份有限公司,新北市中和區水源路81巷24弄7號,許大晏,30000000,1020430
130,54056579,艾瑩科技有限公司,新北市板橋區文化路2段227之4號,汪琇閔,1600000,1020430
131,54056584,實創投資股份有限公司,新北市永和區永利路72巷10號6樓,蔡鎮鴻,3000000,1020501
132,54056590,新惠科技有限公司,新北市三重區永吉里車路頭街81號(1樓),甘桂三,2000000,1020430
133,54056607,芯品生物科技有限公司,新北市三重區正義北路136號4樓之3,謝明勳,300000,1020430
134,54056613,愛美麗紡織有限公司,新北市三重區介壽路39巷220號,李祺澤,500000,1020501
135,54056629,都都廣告行銷有限公司,新北市新莊區中港路504號3樓,廖健宏,1000000,1020501
136,54056634,勝茂有限公司,新北市板橋區居仁里三民路2段153巷34弄5號5樓,羅美淇,300000,1020501
137,54056640,同樂食品有限公司,新北市新店區北新路3段101號1、2樓,李汪熙,500000,1020501
